,1970s ,1980s ,1990s ,2000s ,2010s 
DDDD,0.0868055555556,0.0615079365079,0.0723182000804,0.069142631371,0.0774971297359
DDDU,0.0769675925926,0.0634920634921,0.0602651667336,0.0620308178586,0.0654420206659
DDUD,0.0607638888889,0.0531746031746,0.0614704700683,0.0458316870802,0.0453501722158
DDUU,0.0804398148148,0.0761904761905,0.0634793089594,0.0687475306203,0.0700344431688
DUDD,0.0596064814815,0.0539682539683,0.0586580956207,0.0513630975899,0.0464982778416
DUDU,0.0219907407407,0.0253968253968,0.0425873844918,0.037139470565,0.0361653272101
DUUD,0.0590277777778,0.0559523809524,0.0482121333869,0.0572896088503,0.0562571756602
DUUU,0.0677083333333,0.0765873015873,0.0767376456408,0.0734887396286,0.0717566016073
UDDD,0.0769675925926,0.0634920634921,0.0602651667336,0.0620308178586,0.0654420206659
UDDU,0.0642361111111,0.065873015873,0.0646846122941,0.052548399842,0.0499425947187
UDUD,0.0208333333333,0.0265873015873,0.0397750100442,0.0426708810747,0.0378874856487
UDUU,0.0457175925926,0.0563492063492,0.0610687022901,0.0620308178586,0.0579793340987
UUDD,0.0815972222222,0.0753968253968,0.066291683407,0.0628210193599,0.0688863375431
UUDU,0.0451388888889,0.0575396825397,0.0582563278425,0.0675622283682,0.0597014925373
UUUD,0.0677083333333,0.0769841269841,0.0763358778626,0.0734887396286,0.0723306544202
UUUU,0.0844907407407,0.111507936508,0.089594214544,0.111813512446,0.118828932262
