,1970s ,1980s ,1990s ,2000s ,2010s 
D,888,1177,1204,1178,819
U,843,1346,1288,1356,926
DD,527,641,641,622,450
DU,361,535,563,555,368
UD,360,536,562,556,369
UU,482,810,725,800,557
DDD,283,315,330,332,249
DDU,244,326,311,290,201
DUD,141,201,252,224,145
DUU,219,334,311,331,223
UDD,244,326,311,290,201
UDU,116,209,251,265,167
UUD,219,335,310,331,224
UUU,263,475,414,469,333
DDDD,150,155,180,175,135
DDDU,133,160,150,157,114
DDUD,105,134,153,116,79
DDUU,139,192,158,174,122
DUDD,103,136,146,130,81
DUDU,38,64,106,94,63
DUUD,102,141,120,145,98
DUUU,117,193,191,186,125
UDDD,133,160,150,157,114
UDDU,111,166,161,133,87
UDUD,36,67,99,108,66
UDUU,79,142,152,157,101
UUDD,141,190,165,159,120
UUDU,78,145,145,171,104
UUUD,117,194,190,186,126
UUUU,146,281,223,283,207
DDDDD,77,80,94,92,81
DDDDU,73,75,86,83,54
DDDUD,60,62,81,68,43
DDDUU,73,98,69,89,71
DDUDD,73,93,88,68,45
DDUDU,32,41,65,48,34
DDUUD,67,85,68,85,47
DDUUU,72,107,90,89,75
DUDDD,54,74,62,66,47
DUDDU,49,62,84,64,34
DUDUD,11,24,42,36,21
DUDUU,27,40,64,58,42
DUUDD,67,94,59,74,49
DUUDU,35,47,61,71,49
DUUUD,47,86,90,79,42
DUUUU,70,107,101,107,83
UDDDD,73,75,86,83,54
UDDDU,60,85,64,74,60
UDDUD,45,72,72,48,36
UDDUU,66,94,89,85,51
UDUDD,30,43,58,62,36
UDUDU,6,23,41,46,29
UDUUD,34,56,52,60,51
UDUUU,45,86,100,97,50
UUDDD,79,86,88,90,67
UUDDU,62,104,77,69,53
UUDUD,25,43,57,72,45
UUDUU,52,102,88,99,59
UUUDD,74,96,106,85,71
UUUDU,43,98,84,100,55
UUUUD,70,108,100,107,84
UUUUU,76,173,122,176,123
DDDDDD,40,44,49,49,48
DDDDDU,37,36,45,43,33
DDDDUD,32,31,44,36,20
DDDDUU,41,44,42,47,34
DDDUDD,43,47,48,43,25
DDDUDU,17,15,33,25,18
DDDUUD,33,45,30,47,25
DDDUUU,40,53,39,42,46
DDUDDD,40,51,40,37,27
DDUDDU,33,42,48,31,18
DDUDUD,9,15,21,21,12
DDUDUU,23,26,44,27,22
DDUUDD,44,55,32,45,26
DDUUDU,23,30,36,40,21
DDUUUD,26,40,49,39,25
DDUUUU,46,67,41,50,50
DUDDDD,22,32,34,32,22
DUDDDU,32,42,28,34,25
DUDDUD,18,31,31,24,11
DUDDUU,31,31,53,40,23
DUDUDD,9,15,23,19,12
DUDUDU,2,8,19,17,9
DUDUUD,10,15,21,19,19
DUDUUU,17,25,43,39,23
DUUDDD,35,46,34,42,24
DUUDDU,32,48,25,32,25
DUUDUD,12,18,28,28,21
DUUDUU,23,29,33,43,28
DUUUDD,31,46,48,44,19
DUUUDU,16,40,42,35,23
DUUUUD,33,45,47,32,32
DUUUUU,37,62,54,75,51
UDDDDD,37,36,45,43,33
UDDDDU,36,39,41,40,21
UDDDUD,28,31,37,32,23
UDDDUU,32,54,27,42,37
UDDUDD,30,46,40,25,20
UDDUDU,15,26,32,23,16
UDDUUD,34,40,38,38,22
UDDUUU,32,54,51,47,29
UDUDDD,14,23,22,29,20
UDUDDU,16,20,36,33,16
UDUDUD,2,9,21,15,9
UDUDUU,4,14,20,31,20
UDUUDD,22,39,27,29,23
UDUUDU,12,17,25,31,28
UDUUUD,21,46,41,40,17
UDUUUU,24,40,59,57,33
UUDDDD,51,43,52,51,32
UUDDDU,28,43,36,39,35
UUDDUD,27,41,41,24,25
UUDDUU,35,63,36,45,28
UUDUDD,21,28,35,43,24
UUDUDU,4,15,22,29,20
UUDUUD,24,41,31,41,32
UUDUUU,28,61,57,58,27
UUUDDD,44,40,54,48,43
UUUDDU,30,56,52,37,28
UUUDUD,13,25,29,44,24
UUUDUU,29,73,55,56,31
UUUUDD,43,50,58,41,52
UUUUDU,27,58,42,65,32
UUUUUD,37,62,53,75,52
UUUUUU,39,111,68,101,71
DDDDDDD,21,21,25,26,30
DDDDDDU,19,23,24,23,18
DDDDDUD,16,14,26,17,12
DDDDDUU,21,22,19,26,21
DDDDUDD,24,22,25,24,12
DDDDUDU,8,9,19,12,8
DDDDUUD,17,19,15,24,10
DDDDUUU,24,25,27,23,24
DDDUDDD,22,26,20,26,12
DDDUDDU,21,21,28,17,13
DDDUDUD,5,7,11,8,6
DDDUDUU,12,8,22,17,12
DDDUUDD,24,26,16,23,14
DDDUUDU,9,19,14,24,11
DDDUUUD,12,17,22,16,19
DDDUUUU,28,36,17,26,27
DDUDDDD,17,22,23,17,13
DDUDDDU,23,29,17,20,14
DDUDDUD,15,23,14,9,7
DDUDDUU,18,19,34,22,11
DDUDUDD,7,11,9,14,8
DDUDUDU,2,4,12,7,4
DDUDUUD,9,11,15,7,14
DDUDUUU,14,15,29,20,8
DDUUDDD,25,22,17,26,12
