dd,mm,yy,value
02,01,73,111.35
03,01,73,111.43
04,01,73,111.51
05,01,73,110.47
08,01,73,109.24
09,01,73,109.52
10,01,73,109.47
11,01,73,108.79
12,01,73,109.3
15,01,73,108.62
16,01,73,108.53
17,01,73,107.67
18,01,73,108
19,01,73,107.44
22,01,73,107
23,01,73,106.29
24,01,73,107.88
25,01,73,109.14
26,01,73,108.9
29,01,73,108.63
30,01,73,108.66
31,01,73,108.43
01,02,73,109.61
02,02,73,109.61
05,02,73,109.01
06,02,73,108.47
07,02,73,109.33
08,02,73,109.89
09,02,73,110.11
12,02,73,111
13,02,73,111.17
14,02,73,111.32
15,02,73,110.34
16,02,73,110.85
19,02,73,112.72
20,02,73,113.23
21,02,73,113.78
22,02,73,113.37
23,02,73,114.17
26,02,73,115.61
27,02,73,115.94
28,02,73,115.76
01,03,73,117.2
02,03,73,119.05
05,03,73,120.15
06,03,73,117.5
07,03,73,118.63
08,03,73,119.49
09,03,73,119.24
12,03,73,117.7
13,03,73,117.89
14,03,73,118.84
15,03,73,120.56
16,03,73,123.1
20,03,73,123.42
21,03,73,126.57
22,03,73,126.71
23,03,73,126.35
26,03,73,127.76
27,03,73,129.42
28,03,73,128.51
29,03,73,128.44
30,03,73,128.54
02,04,73,128.92
03,04,73,126.68
04,04,73,125.09
05,04,73,122.88
06,04,73,124.04
09,04,73,122.68
10,04,73,121.82
11,04,73,123.11
12,04,73,123.02
13,04,73,123.69
16,04,73,125.15
17,04,73,125.7
18,04,73,127.96
19,04,73,129.22
20,04,73,129.81
23,04,73,130.72
24,04,73,129.33
27,04,73,128.28
30,04,73,129.64
02,05,73,131.19
03,05,73,131.07
04,05,73,131.2
07,05,73,130.12
08,05,73,129.83
09,05,73,131.04
10,05,73,132.07
11,05,73,131.78
14,05,73,131.49
15,05,73,131.18
16,05,73,133.59
17,05,73,134.24
18,05,73,137.45
21,05,73,137.61
22,05,73,139.64
23,05,73,142.01
24,05,73,144.68
25,05,73,143.95
28,05,73,140.62
29,05,73,139.28
30,05,73,142.73
01,06,73,146.28
04,06,73,144.1
05,06,73,144.31
06,06,73,144.2
07,06,73,141.7
08,06,73,143.48
11,06,73,146.25
12,06,73,148.73
13,06,73,150.24
14,06,73,153.52
15,06,73,158.27
18,06,73,162
19,06,73,162.21
20,06,73,153.92
22,06,73,153.81
25,06,73,153.06
26,06,73,155.36
27,06,73,157.3
28,06,73,158.4
02,07,73,158.8
03,07,73,160.81
04,07,73,161.87
05,07,73,159.71
06,07,73,155.41
09,07,73,149.43
10,07,73,145.09
11,07,73,137.64
12,07,73,141.77
13,07,73,146.32
16,07,73,142.32
17,07,73,139.36
18,07,73,139.2
19,07,73,141.9
20,07,73,144.84
23,07,73,141.33
24,07,73,138.15
25,07,73,135.37
26,07,73,137.96
27,07,73,133.8
30,07,73,125.72
31,07,73,127.55
01,08,73,126.92
02,08,73,127.42
03,08,73,125.56
06,08,73,119.75
07,08,73,117.51
08,08,73,124.11
09,08,73,126.26
10,08,73,126.84
16,08,73,125.69
17,08,73,125.99
20,08,73,126.34
21,08,73,126.37
22,08,73,127.82
23,08,73,130.19
24,08,73,133.19
27,08,73,134.86
28,08,73,132.56
29,08,73,132.49
30,08,73,134.11
31,08,73,134.81
03,09,73,133.83
04,09,73,133.89
05,09,73,132.83
06,09,73,131.64
07,09,73,128.98
10,09,73,129.12
11,09,73,130.23
12,09,73,130.39
13,09,73,129.55
14,09,73,128.65
17,09,73,127.29
18,09,73,126.57
19,09,73,129.29
20,09,73,130.29
21,09,73,130.07
24,09,73,132
25,09,73,130.94
26,09,73,129.71
27,09,73,129.38
28,09,73,130.43
01,10,73,132.27
02,10,73,132.38
03,10,73,133.19
04,10,73,132.24
05,10,73,132.44
08,10,73,132.65
09,10,73,132.99
10,10,73,132.06
11,10,73,131.36
12,10,73,130.93
15,10,73,130.77
16,10,73,132.11
17,10,73,133.88
18,10,73,135.75
19,10,73,137.32
22,10,73,139.3
23,10,73,138.52
24,10,73,137.74
25,10,73,138.06
26,10,73,139.86
29,10,73,140.14
30,10,73,139.98
31,10,73,139.7
02,11,73,141.04
05,11,73,139.72
06,11,73,136.14
07,11,73,138.07
08,11,73,138.29
09,11,73,138.71
12,11,73,137.56
13,11,73,137.04
14,11,73,134.99
15,11,73,134.83
16,11,73,133.12
19,11,73,136.18
20,11,73,134.46
21,11,73,131.11
22,11,73,131.44
23,11,73,132.04
